Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO12476	Laminin-like protein epi-1; Complete proteome; Disulfide bond; Glycoprotein; Laminin EGF-like domain; Reference proteome; Repeat; Signal	NULL	NULL	NULL	basement membrane [GO:0005604]; extracellular matrix structural constituent [GO:0005201]; axonal defasciculation [GO:0007414]; basement membrane organization [GO:0071711]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; neuron migration [GO:0001764]; positive regulation of endopeptidase activity [GO:0010950]; positive regulation of locomotion [GO:0040017]; regulation of cell proliferation [GO:0042127]; reproduction [GO:0000003]; response to heat [GO:0009408]; response to misfolded protein [GO:0051788]	Lamin-like proteins are necessary for structuring of the nuclear envelope, this protein could be responsible for homeostasis of the host
ABO11747	Epoxyqueuosine reductase QueH; 4Fe-4S; Complete proteome; Disulfide bond; Iron; Iron-sulfur; Metal-binding; Oxidoreductase; Queuosine biosynthesis; Redox-active center; Reference proteome; tRNA processing	Uncharacterized BCR, COG1636	NULL	NULL	NULL	Part of tRNA biosynthesis and processing
ABO12475	Envelope biogenesis factor ElyC; Cell inner membrane; Cell membrane; Cell wall biogenesis/degradation; Complete proteome; Membrane; Transmembrane; Transmembrane helix	DUF218 domain	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cell wall organization [GO:0071555]	Part of cell wall synthesis and degradation --> part of mitosis probably (somewhat interesting?) related proteins could show some sort of growth factors or signal pathways
ABO11749	Uncharacterized protein YoaF; Complete proteome; Reference proteome	Domain of unknown function (DUF333); Peptidase inhibitor I78 family; Potato inhibitor I family; Prokaryotic membrane lipoprotein lipid attachment site; Alpha-lytic protease prodomain	Prokaryotic membrane lipoprotein lipid attachment site profile	NULL	serine-type endopeptidase inhibitor activity [GO:0004867]; response to wounding [GO:0009611]; serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508]; extracellular region [GO:0005576]	unknown function, response to wounding, prokaryotic membrane lipoprotein lipid attachment site which doesn't really have a relationship with antibiotic resistance
ABO12122	Phytochrome-like protein cph2; 3D-structure; Chromophore; Complete proteome; Photoreceptor protein; Receptor; Reference proteome; Repeat; Sensory transduction; Phytochrome-like protein cph2; 3D-structure; Chromophore; Complete proteome; Photoreceptor protein; Receptor; Reference proteome; Repeat; Sensory transduction	Diguanylate cyclase, GGDEF domain; Divergent PAP2 family; Uncharacterised protein family (UPF0370)	GGDEF domain profile	NULL	red or far-red light photoreceptor activity [GO:0009883]; detection of visible light [GO:0009584]; protein-chromophore linkage [GO:0018298]; red, far-red light phototransduction [GO:0009585]; regulation of transcription, DNA-templated [GO:0006355]; red or far-red light photoreceptor activity [GO:0009883]; detection of visible light [GO:0009584]; protein-chromophore linkage [GO:0018298]; red, far-red light phototransduction [GO:0009585]; regulation of transcription, DNA-templated [GO:0006355]	a lot of relevance to light 
ABO12809	Dimodular nonribosomal peptide synthase; Complete proteome; Ligase; Phosphopantetheine; Phosphoprotein; Reference proteome; Repeat; Dimodular nonribosomal peptide synthase; Complete proteome; Ligase; Phosphopantetheine; Phosphoprotein; Reference proteome; Repeat	Condensation domain; Phosphopantetheine attachment site	Phosphopantetheine attachment site; Carrier protein (CP) domain profile	NULL	hydrolase activity, acting on ester bonds [GO:0016788]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; biosynthetic process [GO:0009058]; hydrolase activity, acting on ester bonds [GO:0016788]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; biosynthetic process [GO:0009058]	Creation of peptides via affecting ester bonds
ABO11375	Somatotropin; Disulfide bond; Hormone; Metal-binding; Phosphoprotein; Secreted; Signal; Zinc	NULL	NULL	NULL	extracellular region [GO:0005576]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]	Related to disulfide bonds and metal binding
ABO12802	Bacitracin synthase 1; Antibiotic biosynthesis; Isomerase; Ligase; Multifunctional enzyme; Phosphopantetheine; Phosphoprotein; Repeat; Bacitracin synthase 1; Antibiotic biosynthesis; Isomerase; Ligase; Multifunctional enzyme; Phosphopantetheine; Phosphoprotein; Repeat; Bacitracin synthase 1; Antibiotic biosynthesis; Isomerase; Ligase; Multifunctional enzyme; Phosphopantetheine; Phosphoprotein; Repeat	Condensation domain; Phosphopantetheine attachment site	NULL	NULL	glutamate racemase activity [GO:0008881]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; antibiotic biosynthetic process [GO:0017000]; glutamate racemase activity [GO:0008881]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; antibiotic biosynthetic process [GO:0017000]; glutamate racemase activity [GO:0008881]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; antibiotic biosynthetic process [GO:0017000]	creation of antibiotics very interesting, could be used to create antibodies for other stuff
ABO12801	Phenyloxazoline synthase MbtB; Complete proteome; Ligase; Multifunctional enzyme; Phosphopantetheine; Phosphoprotein; Reference proteome; Repeat	Condensation domain	NULL	NULL	ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; metabolic process [GO:0008152]	part of metabolism
ABO11734	Phosphopantetheine adenylyltransferase; ATP-binding; Coenzyme A biosynthesis; Complete proteome; Cytoplasm; Magnesium; Nucleotide-binding; Nucleotidyltransferase; Reference proteome; Transferase	PAAR motif	NULL	NULL	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; pantetheine-phosphate adenylyltransferase activity [GO:0004595]; coenzyme A biosynthetic process [GO:0015937]	part of coenzyme A synthesis which is essential for metabolism in most cells
ABO13859	Protein TraJ; Activator; Conjugation; Cytoplasm; Plasmid; Transcription; Transcription regulation	KNTase C-terminal domain; Protein of unknown function (DUF2999)	NULL	NULL	cytoplasm [GO:0005737]; conjugation [GO:0000746]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; nucleotidyltransferase activity [GO:0016779]; response to antibiotic [GO:0046677]	activates transcription and catalyzes the transfer of nucleotidyl groups to reactants, also has a Go term "response to antibiotics GO:0046677" which might be interesting to look into/
ABO12466	SPBc2 prophage-derived uncharacterized protein YorG; Coiled coil; Complete proteome; Reference proteome	AAA domain; SAND domain; Uncharacterized protein conserved in bacteria (DUF2272); MutS domain I	NULL	NULL	DNA binding [GO:0003677]; ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	could be responsible for certain DNA repair mechanisms which are essential to preventing severe mutations from happening
ABO11730		Intracellular multiplication and human macrophage-killing; ImcF-related N-terminal domain; Type VI secretion protein IcmF C-terminal; 50S ribosome-binding GTPase; Protein of unknown function (DUF575); Domain of unknown function (DUF4381)	NULL	Bacterial secretion system [acb03070]	GTP binding [GO:0005525]	Part of ribosomal binding transcription subunits. 
ABO11731	Proline--tRNA ligase; Aminoacyl-tRNA synthetase; ATP-binding; Complete proteome; Cytoplasm; Ligase; Nucleotide-binding; Protein biosynthesis; Reference proteome	Type VI secretion protein IcmF C-terminal	NULL	NULL	cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]	transports some proteins from the interior to other proteins (type 6 secretion proteins)
ABO13853		Transglutaminase-like superfamily; Transglutaminase-like superfamily; N-acetyltransferase	NULL	NULL	acetyltransferase activity [GO:0016407]; metabolic process [GO:0008152]	transglutimase homologs are proteases. Part of metabolism and could be interesting
ABO13852	Diaminopimelate decarboxylase; Amino-acid biosynthesis; Complete proteome; Decarboxylase; Lyase; Lysine biosynthesis; Pyridoxal phosphate	Pyridoxal-dependent decarboxylase, pyridoxal binding domain; Pyridoxal-dependent decarboxylase, C-terminal sheet domain; Domain of unknown function (DUF1127)	Orn/DAP/Arg decarboxylases family 2 pyridoxal-P attachment site; Orn/DAP/Arg decarboxylases family 2 signature 2	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Lysine biosynthesis [acb00300]; Microbial metabolism in diverse environments [acb01120]; Biosynthesis of antibiotics [acb01130]; Biosynthesis of amino acids [acb01230]	diaminopimelate decarboxylase activity [GO:0008836]; lysine biosynthetic process via diaminopimelate [GO:0009089]; catalytic activity [GO:0003824]; catalytic activity [GO:0003824]	Part of translation
ABO13851	Transcriptional activator protein LysR; Activator; Complete proteome; Cytoplasm; DNA-binding; Reference proteome; Repressor; Transcription; Transcription regulation	LysR substrate binding domain; Bacterial regulatory helix-turn-helix protein, lysR family; PucR C-terminal helix-turn-helix domain	Beta-ketoacyl synthases active site; LysR-type HTH domain profile	NULL	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; lysine biosynthetic process via diaminopimelate [GO:0009089]; positive regulation of gene expression [GO:0010628]; transcription, DNA-templated [GO:0006351]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]	affects gene expression and transcription
ABO13850	Uncharacterized HTH-type transcriptional regulator PYRAB01370; Complete proteome; DNA-binding; Transcription; Transcription regulation	Helix-turn-helix domain; Homeodomain-like domain; Helix-turn-helix domain of resolvase; helix-turn-helix, Psq domain; HTH domain; Transcriptional regulator, AbiEi antitoxin; Helix-turn-helix domain; Helix-turn-helix domain; HTH domain; Putative helix-turn-helix protein, YlxM / p13 like; Bacterial regulatory protein, Fis family; Prophage CP4-57 regulatory protein (AlpA); CENP-B N-terminal DNA-binding domain; Bacterial regulatory proteins, gntR family; Helix-turn-helix of DDE superfamily endonuclease; Helix-turn-helix; Winged helix-turn helix; IclR helix-turn-helix domain; MerR family regulatory protein; Bacterial regulatory proteins, tetR family; Sigma-70, region 4; Winged helix-turn-helix DNA-binding	NULL	NULL	intracellular [GO:0005622]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]; recombinase activity [GO:0000150]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA binding [GO:0003677]; sequence-specific DNA binding [GO:0043565]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; sequence-specific DNA binding [GO:0043565]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; DNA binding [GO:0003677]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]; regulation of transcription, DNA-templated [GO:0006355]	transcription, DNA binding, DNA recombination activity, a bunch of helix domains
BO11739	Putative voltage-gated potassium channel subunit beta; Complete proteome; Cytoplasm; Ion channel; Ion transport; Nucleus; Potassium; Potassium transport; Reference proteome; Transport; Voltage-gated channel	NULL	NULL	NULL	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; voltage-gated ion channel activity [GO:0005244]; potassium ion transmembrane transport [GO:0071805]	NULL	Voltage gated channel possibly in neurons
ABO13855	Resolvase; DNA integration; DNA recombination; DNA-binding; Plasmid	Resolvase, N terminal domain; Helix-turn-helix domain of resolvase; Homeodomain-like domain; Sigma-54 interaction domain; L27_1; Trp repressor protein; Helix-turn-helix; YopE, N terminal; Winged helix-turn helix; AAA domain; CENP-B N-terminal DNA-binding domain; Sugar-specific transcriptional regulator TrmB; GCN5-like protein 1 (GCN5L1); Phage uncharacterised protein (Phage_XkdX); 7TM-HD extracellular	Site-specific recombinases active site; Site-specific recombinases signature 2; Carbamoyl-phosphate synthase subdomain signature 2; Resolvase/invertase-type recombinase catalytic domain profile	NULL	DNA binding [GO:0003677]; recombinase activity [GO:0000150]; DNA integration [GO:0015074]; recombinase activity [GO:0000150]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; recombinase activity [GO:0000150]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; ATP binding [GO:0005524]; transcription factor binding [GO:0008134]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; intracellular [GO:0005622]; sequence-specific DNA binding [GO:0043565]; negative regulation of phagocytosis [GO:0050765]; DNA binding [GO:0003677]; BLOC-1 complex [GO:0031083]; recombinase activity [GO:0000150]; DNA recombination [GO:0006310]; recombinase activity [GO:0000150]; DNA recombination [GO:0006310]; ATP binding [GO:0005524]; recombinase activity [GO:0000150]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]	NULL	DNA Recombination enzyme that may allow for the cell (if it take up extracellular genes) to undergo a genetic change
ABO13854	Secretory immunoglobulin A-binding protein EsiB; 3D-structure; Complete proteome; Direct protein sequencing; Magnesium; Metal-binding; Repeat; Signal; Virulence; Secretory immunoglobulin A-binding protein EsiB; 3D-structure; Complete proteome; Direct protein sequencing; Magnesium; Metal-binding; Repeat; Signal; Virulence; Secretory immunoglobulin A-binding protein EsiB; 3D-structure; Complete proteome; Direct protein sequencing; Magnesium; Metal-binding; Repeat; Signal; Virulence; Secretory immunoglobulin A-binding protein EsiB; 3D-structure; Complete proteome; Direct protein sequencing; Magnesium; Metal-binding; Repeat; Signal; Virulence; Secretory immunoglobulin A-binding protein EsiB; 3D-structure; Complete proteome; Direct protein sequencing; Magnesium; Metal-binding; Repeat; Signal; Virulence	Sel1 repeat; Plant specific mitochondrial import receptor subunit TOM20; Tetratricopeptide repeat; Protein of unknown function (DUF4521)	NULL	NULL	cell surface [GO:0009986]; IgA binding [GO:0019862]; metal ion binding [GO:0046872]; negative regulation of immune response [GO:0050777]; negative regulation of neutrophil activation [GO:1902564]; pathogenesis [GO:0009405]; cell surface [GO:0009986]; IgA binding [GO:0019862]; metal ion binding [GO:0046872]; negative regulation of immune response [GO:0050777]; negative regulation of neutrophil activation [GO:1902564]; pathogenesis [GO:0009405]; cell surface [GO:0009986]; IgA binding [GO:0019862]; metal ion binding [GO:0046872]; negative regulation of immune response [GO:0050777]; negative regulation of neutrophil activation [GO:1902564]; pathogenesis [GO:0009405]; cell surface [GO:0009986]; IgA binding [GO:0019862]; metal ion binding [GO:0046872]; negative regulation of immune response [GO:0050777]; negative regulation of neutrophil activation [GO:1902564]; pathogenesis [GO:0009405]; cell surface [GO:0009986]; IgA binding [GO:0019862]; metal ion binding [GO:0046872]; negative regulation of immune response [GO:0050777]; negative regulation of neutrophil activation [GO:1902564]; pathogenesis [GO:0009405]	NULL	Possibly a protein involved in the regulation of the immune response as an Imunoglobin 
